Artists,Songs,Wks on Chart,Max position
Drake Featuring 21 Savage,Jimmy Cooks,1,1
Harry Styles,As It Was,1,1
Jack Harlow,First Class,12,12
Future Featuring Drake & Tems,Wait For U,1,1
Lizzo,About Damn Time,1,1
Drake,Sticky,12,12
Drake,Falling Back,2,2
Joji,Glimpse Of Us,1,1
Kate Bush,Running Up That Hill (A Deal With God),11,11
Glass Animals,Heat Waves,2,2
Bad Bunny & Chencho Corleone,Me Porto Bonito,1,1
Latto,Big Energy,11,11
Drake,Texts Go Green,3,3
Drake,Massive,1,1
Beyonce,Break My Soul,8,8
Bad Bunny,Titi Me Pregunto,3,3
Morgan Wallen,Wasted On You,1,1
Luke Combs,The Kind Of Love We Make,8,8
The Kid LAROI & Justin Bieber,Stay,4,4
Drake,Calling My Name,4,4
Drake,A Keeper,10,10
Post Malone Featuring Doja Cat,I Like You (A Happier Song),4,4
Drake,Currents,4,4
Harry Styles,Late Night Talking,10,10
Dove Cameron,Boyfriend,-,-
Justin Bieber,Ghost,6,6
Em Beihold,Numb Little Bug,1,1
Drake,Flight's Booked,-,-
Ed Sheeran,Bad Habits,6,6
Imagine Dragons X JID,Enemy,1,1
Doja Cat,Get Into It (Yuh),-,-
Bad Bunny,Moscow Mule,7,7
Nicky Youre & dazy,Sunroof,1,1
Doja Cat,Woman,-,-
Elton John & Dua Lipa,Cold Heart (PNAU Remix),7,7
Camila Cabello Featuring Ed Sheeran,Bam Bam,1,1
Lil Nas X,Thats What I Want,10,10
Kodak Black,Super Gremlin,8,8
Ed Sheeran,Shivers,2,2
Karol G,Provenza,10,10
Morgan Wallen,You Proof,8,8
Drake,Overdrive,2,2
Parmalee,Take My Name,5,5
Megan Thee Stallion & Dua Lipa,Sweetest Pie,4,4
Bad Bunny,Efecto,24,24
Kane Brown,Like I Love Country Music,5,5
Drake,Liability,4,4
Walker Hayes,AA,24,24
The Kid LAROI,Thousand Miles,6,6
Zach Bryan,Something In The Orange,1,1
Bad Bunny & Rauw Alejandro,Party,75,75
"Lil Baby, 42 Dugg & Veeze",U-Digg,6,6
Bad Bunny,Despues de La Playa,1,1
Jason Aldean,Trouble With A Heartbreak,75,75
Post Malone Featuring Roddy Ricch,Cooped Up,8,8
Ed Sheeran Featuring Lil Baby,2step,7,7
Bad Bunny & Bomba Estereo,Ojitos Lindos,7,7
Future,Puffin On Zootiez,8,8
Scotty McCreery,Damn Strait,7,7
Bailey Zimmerman,Fall In Love,7,7
Lady Gaga,Hold My Hand,7,7
Drake,Down Hill,3,3
Lil Baby,In A Minute,35,35
Becky G X Karol G,MAMIII,7,7
SleazyWorld Go Featuring Lil Baby,Sleazy Flow,3,3
Drake,Tie That Binds,35,35
Doja Cat,Vegas,-,-
BTS,Yet To Come,13,13
Shawn Mendes,When You're Gone,1,1
Lil Durk Featuring Gunna,What Happened To Virgil,-,-
Kendrick Lamar & Kodak Black,Silent Hill,13,13
Bailey Zimmerman,Rock And A Hard Place,1,1
"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",Cash In Cash Out,-,-
JNR CHOI & Sam Tompkins,To The Moon!,14,14
Bad Bunny & Jhay Cortez,Tarot,1,1
Cole Swindell,She Had Me At Heads Carolina,-,-
Russell Dickerson & Jake Scott,She Likes It,14,14
OneRepublic,I Ain't Worried,1,1
ERNEST Featuring Morgan Wallen,Flower Shops,-,-
Carrie Underwood,Ghost Story,15,15
Shakira & Rauw Alejandro,Te Felicito,1,1
Quavo & Takeoff,Hotel Lobby (Unc And Phew),-,-
Harry Styles,Music For A Sushi Restaurant,15,15
Bad Bunny,Un Ratito,1,1
Jon Pardi,Last Night Lonely,9,9
Morgan Wallen,Thought You Should Know,5,5
Halsey,So Good,7,7
Tyler Hubbard,5 Foot 9,9,9
Corey Kent,Wild As Her,5,5
Lil Baby,Right On,7,7
Maren Morris,Circles Around This Town,11,11
Luke Combs,Tomorrow Me,9,9
Tim McGraw,7500 OBO,32,32
Sleepy Hallow Featuring 347aidan,Die Young,11,11
Hitkidd & Glorilla,F.N.F. (Let's Go),9,9
Kendrick Lamar,N95,32,32
Sam Smith,Love Me More,-,-
Dylan Scott,New Truck,18,18
Tate McRae,She's All I Wanna Be,1,1
Rauw Alejandro & Chencho Corleone,Desesperados,-,-
